"OldUrl","NewUrl","Action","StatusCode","Priority","Origin","Title","MetaDescription","Canonical","H1Count","Notes"
"/","/","KEEP-200","200","P0","new static build","MICE Company in India | Corporate Travel Agency","Welcome to HOV, your Trusted MICE Company in India, offering end-to-end solutions for corporate travel, events, and incentive tours | Contact us","https://houseofvacation.com/","1",""
"/about-company/","/about-company/","KEEP-200","200","P1","new static build","About us - House of Vacations","At House of Vacations, we bring over two decades of expertise in curating exceptional travel experiences. Specializing in domestic and international group","https://houseofvacation.com/about-company/","1",""
"/adventure-group/","/adventure-group/","KEEP-200","200","P2-NEW","new static build","Adventure Group Tours for Corporates | House of Vacations","Adventure-led group experiences for corporate teams - trekking, water sports and outbound activities with full safety coordination.","https://houseofvacation.com/adventure-group/","1",""
"/blog/","/blog/","KEEP-200","200","P1","new static build","Blog - House of Vacations","Insights on MICE events, corporate travel and incentive programmes in India from the team at House of Vacations.","https://houseofvacation.com/blog/","1",""
"/conferences-event/","/conferences-event/","KEEP-200","200","P2-NEW","new static build","Corporate Conference Management in India | House of Vacations","Conference and seminar management for corporates - venue selection, AV, delegate registration and full on-site coordination.","https://houseofvacation.com/conferences-event/","1",""
"/contact-us/","/contact-us/","KEEP-200","200","P0","new static build","Contact us - House of Vacations","Contact House of Vacations for corporate travel and MICE event planning across India. Call +91 9220470800 or email mice@houseofvacation.com for a quote.","https://houseofvacation.com/contact-us/","1",""
"/corporate-celebration/","/corporate-celebration/","KEEP-200","200","P2-NEW","new static build","Corporate Celebrations & Annual Day Events | House of Vacations","Annual days, award nights, family days and milestone celebrations planned and produced for corporate teams across India.","https://houseofvacation.com/corporate-celebration/","1",""
"/corporate-event-planners-in-pune/","/corporate-event-planners-in-pune/","KEEP-200","200","P0-CITY","REBUILT from pre-migration snapshot","Corporate Event Planners In Pune | event planning in pune","Welcome to HOV, your Trusted Corporate MICE Event Planners in Pune, offering end-to-end solutions for corporate travel, events, and incentive tours | Contact us","https://houseofvacation.com/corporate-event-planners-in-pune/","1","URL must never change - carries local search rankings"
"/corporate-travel/","/corporate-travel/","KEEP-200","200","P2-NEW","new static build","Corporate Travel Management Services | House of Vacations","Corporate travel management for Indian businesses - policy-compliant bookings, cost control and 24x7 support. Plan smarter business travel with HOV.","https://houseofvacation.com/corporate-travel/","1",""
"/corporate-travel-agency-in-bangalore/","/corporate-travel-agency-in-bangalore/","KEEP-200","200","P0-CITY","REBUILT from pre-migration snapshot","Corporate Travel Agency in Bangalore | MICE Company in Bangalore","Leading Corporate Travel Agency in Bangalore for MICE & events. Travel smart, plan better—partner with House of Vacations today! | Contact us at +91 9220470800","https://houseofvacation.com/corporate-travel-agency-in-bangalore/","1","URL must never change - carries local search rankings"
