"URL","Category","Status","Action"
"https://houseofvacation.com/robots.txt","System","200","Recreate on new site"
"https://houseofvacation.com/sitemap_index.xml","System","200","Replace with new sitemap"
"https://houseofvacation.com/post-sitemap.xml","System","200","Replace"
"https://houseofvacation.com/page-sitemap.xml","System","200","Replace"
"https://houseofvacation.com/category-sitemap.xml","System","200","Replace"
"https://houseofvacation.com/sitemap.xml","Redirect","301","301 -> sitemap_index.xml"
"https://houseofvacation.com/wp-sitemap.xml","Redirect","301","301 -> sitemap_index.xml"
"https://houseofvacation.com/index.php","Redirect","301","301 -> /"
"http://houseofvacation.com/*","Redirect","301","301 -> https"
"https://www.houseofvacation.com/*","Redirect","301","301 -> non-www"
"https://houseofvacation.com/{path}","Redirect","301","301 -> /{path}/ trailing slash"
"https://houseofvacation.com/2024/","Redirect","301","301 -> /"
"https://houseofvacation.com/2025/","Redirect","301","301 -> /"
"https://houseofvacation.com/{media-slug}/","Redirect","301","Attachment -> parent/home"
"https://houseofvacation.com/feed/","Feed","200","Optional - regenerate"
"https://houseofvacation.com/blog/feed/","Feed","200","Optional - regenerate"
"https://houseofvacation.com/comments/feed/","Feed","200","Optional - drop"
"https://houseofvacation.com/category/uncategorized/feed/","Feed","200","Optional - drop"
"https://houseofvacation.com/wp-json/","API","200","WP-only - will not exist"
"https://houseofvacation.com/wp-login.php","System","200","WP-only - will not exist"
"https://houseofvacation.com/page/2/","Duplicate","200","FIX - 301 or 404 (dup of /)"
"https://houseofvacation.com/page/3/","Duplicate","200","FIX - 301 or 404 (dup of /)"
"https://houseofvacation.com/About-Company/","Duplicate","200","FIX - 301 to lowercase"
"https://houseofvacation.com/*?no-cache=RANDOM","Duplicate","200","FIX - infinite dup URLs, do not reproduce"
"https://houseofvacation.com/favicon.ico","Missing","404","Add favicon"
"https://houseofvacation.com/privacy-policy/","Missing","404","Does not exist"
"https://houseofvacation.com/terms-and-conditions/","Missing","404","Does not exist"
"https://houseofvacation.com/services/","Missing","404","Does not exist"
